id,device,timestamp,deviceId,rssi,rssiOld,beaconId,beaconName
560313429,142_(W10T_A7H_3),2022-04-26T13:19:09.295+00:00,509554898,-72,200,509542097,W10T_A7H_B-1-2
560313487,142_(W10T_A7H_3),2022-04-26T13:19:18.407+00:00,509554898,-75,203,509542097,W10T_A7H_B-1-2
560313486,142_(W10T_A7H_3),2022-04-26T13:19:18.407+00:00,509554898,-75,203,509542378,W10T_A7H_B-1-7
560313513,142_(W10T_A7H_3),2022-04-26T13:19:23.504+00:00,509554898,-74,202,509542097,W10T_A7H_B-1-2
560313579,142_(W10T_A7H_3),2022-04-26T13:19:36.544+00:00,509554898,-72,200,509559720,W10T_A7H_B-1-19 TrÃ¤nke
560313578,142_(W10T_A7H_3),2022-04-26T13:19:36.544+00:00,509554898,-70,198,509542378,W10T_A7H_B-1-7
560313637,142_(W10T_A7H_3),2022-04-26T13:19:45.656+00:00,509554898,-71,199,509559720,W10T_A7H_B-1-19 TrÃ¤nke
560313636,142_(W10T_A7H_3),2022-04-26T13:19:45.656+00:00,509554898,-71,199,509542378,W10T_A7H_B-1-7
560313634,142_(W10T_A7H_3),2022-04-26T13:19:45.656+00:00,509554898,-72,200,509542097,W10T_A7H_B-1-2
560313672,142_(W10T_A7H_3),2022-04-26T13:19:50.757+00:00,509554898,-71,199,509558438,W10T_A7H_B-1-10
560313671,142_(W10T_A7H_3),2022-04-26T13:19:50.757+00:00,509554898,-70,198,509542097,W10T_A7H_B-1-2
560313670,142_(W10T_A7H_3),2022-04-26T13:19:50.757+00:00,509554898,-71,199,509542029,W10T_A7H_B-1-1
560313718,142_(W10T_A7H_3),2022-04-26T13:19:58.644+00:00,509554898,-73,201,509542378,W10T_A7H_B-1-7
560313795,142_(W10T_A7H_3),2022-04-26T13:20:05.748+00:00,509554898,-74,202,509542097,W10T_A7H_B-1-2
560313838,142_(W10T_A7H_3),2022-04-26T13:20:12.853+00:00,509554898,-77,205,509542097,W10T_A7H_B-1-2
560313837,142_(W10T_A7H_3),2022-04-26T13:20:12.853+00:00,509554898,-71,199,509558438,W10T_A7H_B-1-10
560313836,142_(W10T_A7H_3),2022-04-26T13:20:12.853+00:00,509554898,-70,198,509559507,W10T_A7H_B-1-16
